epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,23.2215,1.29248,3.88032,1.18984,0.5401,0.08775,0.0523,0.03633,1.23647,3.26386,1.09435,0.0672308,0.000331002,0.000331002
2,44.46,1.20474,2.65107,1.18114,0.33099,0.13725,0.07642,0.04783,1.27766,2.84516,1.13001,0.0342242,0.000657759,0.000657759
3,65.2006,1.12715,2.20578,1.14507,0.27758,0.18169,0.10627,0.06761,1.24946,2.27561,1.16593,0.00121102,0.000977915,0.000977915
4,85.7966,1.10773,2.00892,1.14403,0.49867,0.18118,0.16527,0.10785,1.20818,1.93818,1.16459,0.0009703,0.0009703,0.0009703
5,105.747,1.09312,1.84002,1.12105,0.45202,0.24125,0.17633,0.12681,0.99123,1.91577,1.04121,0.0009604,0.0009604,0.0009604
6,126.373,1.04604,1.76307,1.11425,0.44831,0.23666,0.19824,0.13003,1.25255,1.85379,1.16207,0.0009505,0.0009505,0.0009505
7,146.234,0.99861,1.64419,1.10533,0.56267,0.22294,0.23452,0.17825,0.99362,1.64237,1.04185,0.0009406,0.0009406,0.0009406
8,166.261,1.01617,1.58076,1.10381,0.48238,0.26025,0.26633,0.18397,1.10299,1.54031,1.0783,0.0009307,0.0009307,0.0009307
9,186.509,0.97101,1.49007,1.08412,0.42459,0.34337,0.2694,0.20167,0.98471,1.43742,1.03866,0.0009208,0.0009208,0.0009208
10,206.652,0.94066,1.41436,1.04896,0.49719,0.31628,0.29374,0.21152,1.01084,1.38286,1.02257,0.0009109,0.0009109,0.0009109
11,227.843,0.96973,1.41232,1.07966,0.42884,0.41295,0.34336,0.25344,0.97082,1.31107,1.04538,0.000901,0.000901,0.000901
12,248.983,0.92605,1.34514,1.05066,0.51636,0.37486,0.35979,0.23407,1.25823,1.31732,1.14429,0.0008911,0.0008911,0.0008911
13,269.299,0.93273,1.31638,1.06045,0.52229,0.41289,0.381,0.25951,1.16552,1.288,1.07847,0.0008812,0.0008812,0.0008812
14,290.19,0.94412,1.2955,1.0712,0.39568,0.46968,0.40009,0.29867,0.92902,1.21022,1.02922,0.0008713,0.0008713,0.0008713
15,310.117,0.92856,1.26383,1.05663,0.39847,0.51528,0.4255,0.30636,0.97622,1.13545,1.03899,0.0008614,0.0008614,0.0008614
16,330.55,0.91866,1.19373,1.04548,0.43935,0.50374,0.47362,0.34165,1.01358,1.12562,1.03758,0.0008515,0.0008515,0.0008515
17,351.218,0.90812,1.17759,1.05069,0.44681,0.54692,0.47584,0.32646,1.08512,1.19516,1.06597,0.0008416,0.0008416,0.0008416
